Microsoft (R) COFF/PE Dumper Version 11.00.51106.1
Copyright (C) Microsoft Corporation.  All rights reserved.
         94   41 00008990 IEE
         17   42 0001817C InitErrors
         19   43 0001828C InitSSAutoEnterThread
         95   44 00008D98 LoadLibraryShim
         96   45 00018A88 LoadLibraryWithPolicyShim
         22   46 00016030 LoadStringRC
         97   47 00016170 LoadStringRCEx
         98   48 00021598 LockClrVersion
         33   49 00018488 LogHelp_LogAssert
         34   4A 000185B4 LogHelp_NoGuiOnAssert
         35   4B 000186B0 LogHelp_TerminateOnAssert
         99   4C 000190E0 MetaDataGetDispenser
        100   4D 0001A310 ND_CopyObjDst
        101   4E 0001A200 ND_CopyObjSrc
        102   4F 000014D0 ND_RI2
        103   50 00019E5C ND_RI4
        104   51 00019F38 ND_RI8
        105   52 00007228 ND_RU1
        106   53 0001A020 ND_WI2
        107   54 00001558 ND_WI4
        108   55 0001A10C ND_WI8
        109   56 0000727C ND_WU1
         36   57 00018E1C OpenCtrs
         18   58 0001A420 PostError
         23   59 00019464 ReOpenMetaDataWithMemory
        110   5A 00019590 ReOpenMetaDataWithMemoryEx
        111   5B 0001745C RunDll32ShimW
        112   5C 00018060 RuntimeOSHandle
        113   5D 00017E34 RuntimeOpenImage
        114   5E 00017F50 RuntimeReleaseHandle
         37   5F 00013034 SetTargetForVTableEntry
        115   60 000142A8 StrongNameCompareAssemblies
        116   61 00013880 StrongNameErrorInfo
        117   62 000143E8 StrongNameFreeBuffer
        118   63 00014538 StrongNameGetBlob
        119   64 00014678 StrongNameGetBlobFromImage
        120   65 000147D0 StrongNameGetPublicKey
        121   66 00014968 StrongNameHashSize
        122   67 00014A8C StrongNameKeyDelete
        123   68 00014BA0 StrongNameKeyGen
        124   69 00014CF8 StrongNameKeyGenEx
        125   6A 00014E8C StrongNameKeyInstall
        126   6B 00014FCC StrongNameSignatureGeneration
        127   6C 000151A8 StrongNameSignatureGenerationEx
        128   6D 0001532C StrongNameSignatureSize
        129   6E 00015468 StrongNameSignatureVerification
        130   6F 000155A4 StrongNameSignatureVerificationEx
        131   70 000156E4 StrongNameSignatureVerificationFromImage
        132   71 0001583C StrongNameTokenFromAssembly
        133   72 0001597C StrongNameTokenFromAssemblyEx
        134   73 00015B14 StrongNameTokenFromPublicKey
        135   74 000196D4 TranslateSecurityAttributes
         20   75 00018390 UpdateError
        136   76 00013298 _CorDllMain
        137   77 00005AB8 _CorExeMain
        138   78 0001A520 _CorExeMain2
        139   79 00003C80 _CorImageUnloading
        140   7A 00002460 _CorValidateImage
         24      0000711C [NONAME]
        142      00012E10 [NONAME]

  Summary

        5000 .data
        8000 .pdata
       18000 .rdata
        1000 .reloc
        1000 .rsrc
       47000 .text
